,k,l,flip and rotation,brightness
0,0,0,0,452.0478515625001
1,0,0,0,434.6806640625001
2,0,0,0,26.852539062500284
3,0,0,0,175.91503906250028
4,0,0,0,288.0166015625002
5,0,0,0,317.3916015625001
6,0,0,0,300.2041015625002
7,0,0,0,293.0166015625002
8,0,0,0,277.0166015625002
9,0,0,0,215.12597656250028
10,0,0,0,307.4306640625002
11,0,0,0,450.3603515625001
12,0,0,0,446.8916015625001
13,0,0,0,300.3291015625002
14,0,0,0,190.70410156250028
15,0,4,0,2.1533203125003695
16,0,0,0,458.6572265625001
17,0,0,0,434.3837890625001
18,0,0,0,8.704101562500284
19,0,0,0,183.60253906250028
20,0,0,0,289.2353515625002
21,0,0,0,284.0478515625002
22,0,0,0,261.7666015625002
23,0,0,0,296.2978515625002
24,0,0,0,271.5166015625002
25,0,0,0,239.04785156250028
26,0,0,0,265.8369140625002
27,0,0,0,418.8603515625001
28,0,0,0,406.3291015625001
29,0,0,0,469.5244140625001
30,1,2,0,5.41552734375
31,3,3,0,-10.611816406249801
32,0,0,0,180.89941406250023
33,0,0,0,444.4697265625001
34,2,5,0,-3.273437499999716
35,0,0,0,139.80566406250028
36,0,0,0,242.44628906250028
37,0,0,0,165.54785156250028
38,0,0,0,234.64160156250028
39,0,0,0,369.4853515625001
40,0,0,0,420.0478515625001
41,0,0,0,165.30566406250026
42,0,0,0,252.18066406250023
43,0,0,0,244.12597656250023
44,0,0,0,405.2353515625001
45,0,0,0,139.89160156250017
46,3,3,0,2.638183593750199
47,4,1,0,36.95605468749976
48,0,0,0,-3.795898437499716
49,0,0,0,427.43847656250017
50,1,4,0,-0.6440429687496021
51,0,0,0,134.86035156250028
52,0,0,0,177.21191406250028
53,0,0,0,218.47753906250028
54,0,0,0,266.9853515625002
55,0,0,0,395.5322265625001
56,0,0,0,439.7041015625001
57,0,0,0,443.6103515625001
58,0,0,0,253.46972656250023
59,4,4,0,4.173828125000156
60,0,0,0,349.75878906250017
61,4,5,0,-16.7509765625
62,4,5,0,-37.2275390625
63,0,0,0,237.46972656250023
64,0,0,0,79.34472656250028
65,0,0,0,451.7353515625001
66,2,5,0,17.601562500000284
67,0,0,0,187.18847656250026
68,0,0,0,175.95410156250028
69,0,0,0,243.05566406250026
70,0,0,0,343.6025390625001
71,0,0,0,379.7666015625001
72,0,0,0,389.4541015625001
73,0,0,0,387.4541015625001
74,0,0,0,400.1181640625001
75,0,0,0,400.60253906250017
76,0,0,0,432.5791015625001
77,3,3,0,1.888183593750199
78,0,0,0,53.524414062500206
79,0,0,0,330.9853515625001
80,0,0,0,100.25097656250026
81,0,0,0,466.0791015625001
82,2,5,0,3.289062500000284
83,0,0,0,170.32128906250026
84,0,0,0,316.5712890625002
85,0,0,0,254.02441406250023
86,0,0,0,216.60253906250026
87,2,5,0,21.742187500000284
88,0,5,0,0.6318359375003979
89,0,0,0,343.5869140625001
90,0,0,0,419.8447265625001
91,0,0,0,312.5009765625002
92,5,4,0,-6.366210937499481
93,3,2,0,-38.70654296874977
94,0,0,0,330.1728515625001
95,0,0,0,303.9228515625002
96,0,0,0,108.57128906250028
97,0,0,0,472.0634765625001
98,1,4,0,0.8950195312503979
99,0,0,0,94.28222656250028
100,0,0,0,332.0400390625002
101,0,0,0,87.77441406250028
102,4,1,0,-3.661132812500256
103,4,5,0,-35.9306640625
104,0,0,0,89.93847656250021
105,0,0,0,375.4853515625001
106,0,0,0,187.27441406250017
107,2,5,0,13.835937500000234
108,5,5,0,7.0546875
109,0,0,0,-1.6865234374997797
110,0,0,0,341.7666015625001
111,0,0,0,298.0478515625002
112,0,0,0,63.704101562500284
113,0,0,0,469.9150390625001
114,2,5,0,11.804687500000284
115,0,0,0,174.29003906250028
116,0,0,0,84.78222656250028
117,4,5,0,-31.6494140625
118,5,5,0,5.9765625
119,0,0,0,113.66503906250021
120,0,0,0,267.2431640625002
121,0,0,0,462.5947265625001
122,0,0,0,318.11035156250017
123,4,1,0,24.229492187499766
124,4,5,0,-35.0869140625
125,0,0,0,268.8291015625002
126,0,0,0,273.4541015625002
127,0,0,0,231.05566406250028
128,2,5,0,20.882812500000284
129,0,0,0,481.1416015625001
130,0,0,0,12.790039062500284
131,0,0,0,-18.592773437499716
132,4,1,0,-3.6533203125002416
133,5,2,0,9.488769531249822
134,5,0,0,13.3876953125
135,0,0,0,234.83691406250023
136,0,0,0,78.39160156250027
137,0,0,0,400.7666015625001
138,0,2,0,0.39062500000027
139,3,2,0,-10.831542968749773
140,5,0,0,-1.5654296875
141,0,0,0,291.2978515625002
142,0,0,0,245.84472656250026
143,0,0,0,257.5322265625002
144,5,0,0,12.6376953125
145,0,0,0,476.7978515625001
146,2,5,0,6.046875000000284
147,3,2,0,-29.261230468749737
148,5,2,0,-1.6831054687501918
149,3,2,0,-31.64404296874976
150,0,2,0,-1.765624999999737
151,0,0,0,359.71972656250017
152,0,0,0,444.2353515625001
153,0,0,0,419.4541015625001
154,0,0,0,175.00878906250017
155,3,5,0,1.4184570312502345
156,0,0,0,28.10253906250022
157,0,0,0,247.17285156250026
158,0,0,0,303.9697265625002
159,0,0,0,549.5478515625001
160,4,0,0,1.09716796875
161,0,0,0,480.5478515625001
162,3,0,0,0.50390625
163,5,3,0,4.733886718749801
164,3,2,0,-25.034667968749737
165,3,0,0,-0.56640625
166,4,1,0,1.956054687499762
167,0,0,0,344.78222656250017
168,0,0,0,393.2431640625001
169,0,0,0,376.6259765625001
170,1,5,0,-2.8598632812496874
171,0,1,0,-7.478027343749492
172,0,0,0,255.60253906250023
173,0,0,0,212.47753906250028
174,0,0,0,467.12597656250017
175,0,0,0,552.3916015625001
176,3,1,0,0.5639648437503553
177,0,0,0,477.2275390625001
178,5,0,0,3.9658203125
179,5,3,0,8.991699218749837
180,0,2,0,-0.6328124999997371
181,4,5,0,-0.2822265625
182,5,2,0,35.0122070312498
183,0,0,0,16.86035156250025
184,0,0,0,380.8994140625001
185,0,0,0,277.12597656250017
186,5,2,0,3.262207031249801
187,1,2,0,4.04833984375
188,0,0,0,263.2353515625002
189,0,0,0,152.53222656250028
190,0,0,0,514.3291015625001
191,0,0,0,563.8369140625001
192,0,1,0,-7.399902343749517
193,0,0,0,461.2666015625001
194,4,1,0,17.81542968749978
195,4,5,0,-18.9541015625
196,2,1,0,4.56494140625
197,5,3,0,2.905761718749808
198,5,1,0,-5.5849609375
199,0,4,0,-0.6201171874996305
200,0,0,0,341.3603515625001
201,0,0,0,376.5791015625001
202,4,4,0,0.2207031250002558
203,2,3,0,4.004882812500519
204,0,0,0,113.20410156250028
205,0,0,0,17.922851562500284
206,0,0,0,496.4306640625001
207,2,2,0,-2.327636718749602
208,5,0,0,13.2080078125
209,0,0,0,473.2197265625001
210,5,2,0,-7.878417968750156
211,5,1,0,0.9619140625
212,4,1,0,11.831054687499744
213,3,2,0,-2.0424804687497407
214,4,5,0,-16.3916015625
215,0,0,0,105.54003906250024
216,0,0,0,400.6416015625001
217,0,0,0,439.6416015625001
218,0,0,0,516.8916015625001
219,0,0,0,25.98535156250022
220,0,0,0,167.56347656250028
221,0,0,0,312.6416015625002
222,0,0,0,278.1103515625002
223,1,4,0,1.598144531250398
224,1,5,0,-13.984863281249666
225,0,0,0,450.9072265625001
226,5,2,0,17.48876953124984
227,3,3,0,-29.6430664062498
228,4,5,0,-17.3056640625
229,5,2,0,22.16845703124982
230,4,0,0,-2.28564453125
231,0,0,0,209.9228515625002
232,0,0,0,409.2041015625001
233,0,0,0,414.8916015625001
234,0,0,0,485.0791015625001
235,0,0,0,285.5712890625002
236,1,3,0,0.4384765624998046
237,0,0,0,393.74316406250017
238,2,5,0,21.429687500000263
239,4,0,0,4.76123046875
240,4,4,0,6.7285156250002345
241,0,0,0,403.1884765625002
242,5,1,0,-8.1865234375
243,5,2,0,8.098144531249801
244,4,5,0,-38.9306640625
245,4,5,0,-40.1572265625
246,0,0,0,77.46972656250027
247,0,0,0,377.3603515625001
248,0,0,0,416.9228515625001
249,0,0,0,410.6728515625001
250,0,0,0,446.1416015625001
251,0,0,0,395.12597656250017
252,1,3,0,1.6181640624998046
253,0,0,0,64.83691406250026
254,5,0,0,18.2705078125
255,3,5,0,0.7075195312502682
256,2,5,0,0.9960937500002416
257,1,4,0,-6.786132812499822
258,1,2,0,-4.015136718750142
259,0,3,0,-6.804199218749858
260,0,0,0,0.603515625000199
261,0,0,0,13.548828125000199
262,0,0,0,6.861328125000199
263,0,0,0,10.205078125000199
264,0,0,0,-1.482421874999801
265,4,4,0,-14.70751953125
266,3,4,0,1.208984375
267,2,5,0,-0.6757812499997584
268,2,5,0,65.08203125000023
269,2,5,0,-0.5117187499998366
270,4,4,0,-4.39501953125
271,3,2,0,-14.68115234375
272,2,5,0,-2.808593749999746
273,1,4,0,-38.59082031249983
274,3,2,0,-11.27490234375
275,3,5,0,11.0458984375
276,4,4,0,-4.49658203125
277,0,0,0,0.681640625000199
278,2,4,0,-10.5947265625
279,2,5,0,0.14453125000024158
280,1,3,0,-25.97705078125
281,0,5,0,-0.8413085937498579
282,0,0,0,6.822265625000174
283,1,4,0,-28.9345703124998
284,2,4,0,41.8818359375
285,2,5,0,228.6835937500002
286,3,2,0,-13.66552734375
287,4,2,0,-111.79980468749997
288,5,4,0,5.974609375000153
289,1,4,0,-33.926757812499844
290,2,1,0,8.5283203125
291,1,0,0,1.6303710937499023
292,0,5,0,-11.520996093749858
293,0,5,0,10.080566406250142
294,2,4,0,3.0380859375
295,2,5,0,275.7070312500002
296,2,5,0,450.2617187500001
297,3,4,0,-9.791015625
298,0,0,0,-5.294921874999851
299,0,0,0,-3.5371093749998224
300,2,4,0,-9.4853515625
301,2,3,0,-1.4814453125000497
302,4,2,0,-97.32324218749997
303,4,5,0,0.2138671875
304,3,2,0,0.34228515625
305,1,4,0,-42.059570312499844
306,2,1,0,0.2001953125
307,3,0,0,-2.2060546874998046
308,0,3,0,2.797363281250121
309,2,3,0,7.588867187499906
310,2,4,0,34.4443359375
311,2,5,0,335.2617187500001
